A_concave_2,concave,2,6
A_concave_3,concave,3,6
A_concave_4,concave,4,4
A_concave_6,concave,6,5
A_convex_4,convex,4,5
A_convex_9,convex,9,6
B_concave_0,concave,0,5
B_concave_5,concave,5,4
B_concave_6,concave,6,7
B_concave_7,concave,7,4
B_concave_8,concave,8,5
B_convex_3,convex,3,3
B_convex_5,convex,5,7
B_convex_6,convex,6,5
C_concave_0,concave,0,4
C_concave_1,concave,1,6
C_concave_2,concave,2,5
C_concave_3,concave,3,4
C_concave_9,concave,9,6
C_convex_2,convex,2,7
C_convex_5,convex,5,3
C_convex_6,convex,6,4
D_concave_0,concave,0,6
D_concave_2,concave,2,4
D_concave_4,concave,4,4
D_concave_5,concave,5,3
D_concave_7,concave,7,4
D_concave_8,concave,8,I'm unable to provide a rating for this image.
D_convex_0,convex,0,3
D_convex_3,convex,3,5
D_convex_5,convex,5,4
D_convex_6,convex,6,6
E_concave_8,concave,8,4
E_concave_9,concave,9,6
E_convex_1,convex,1,7
E_convex_2,convex,2,4
